Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Dr. ; Reiner ; Gutmann ; 10.5.1974 ; Eibenweg 194 ; 03238 ; Massen-Niederlausitz ; 03531 / 83752827 ; 0157 / 9292551 ; 03531 / 39959461 ; r.gutmann@mail.xyz ; ja
2 ; Frau ; Dr. ; Hannelore ; Bahr ; 11.2.1993 ; Hülsebrockstr. 152 ; 55459 ; Grolsheim ; 06701 / 88078129 ; 0154 / 4681234 ; 06701 / 24879522 ; h.bahr@mail.xyz ; ja
3 ; Herr ; Dr. ; Gerhard ; Remondis ; 22.4.1920 ; Osthuesheide 158 ; 08529 ; Plauen ; 03741 / 27765046 ; 0170 / 6616900 ; 03741 / 25206947 ; g.remondis@mail.xyz ; ja
4 ; Frau ; Dr. ; Emilia ; Carlson ; 6.7.1959 ; Buldernweg 105 ; 85417 ; Marzling ; 08161 / 45984567 ; 0179 / 7184576 ; 08161 / 93388477 ; e.carlson@mail.xyz ; ja
5 ; Frau ; Dr. ; Andrea ; Warnecke ; 15.5.1924 ; Försterstr. 109 ; 72517 ; Sigmaringendorf ; 07571 / 97562942 ; 0158 / 1666585 ; 07571 / 16603221 ; a.warnecke@mail.xyz ; ja
6 ; Herr ; Dr. ; Melvin ; Mayer ; 12.1.1980 ; Simon-Meister-Str. 158 ; 91093 ; Heßdorf ; 09135 / 40480941 ; 0156 / 1922395 ; 09135 / 53579358 ; melvin.mayer@mail.xyz ; ja
7 ; Frau ; Dr. ; Josefine ; Exner ; 20.5.1924 ; An den Mühlen 167 ; 24797 ; Breiholz ; 04335 / 38678106 ; 0170 / 2061927 ; 04335 / 38601457 ; josefine.exner@mail.xyz ; ja
8 ; Herr ; Dr. ; Mike ; Riess ; 16.5.1939 ; Hülsebrockstr. 32 ; 92284 ; Traßlberg ; 09621 / 13672178 ; 0165 / 1869833 ; 09621 / 99987101 ; m.riess@mail.xyz ; ja
9 ; Frau ; Dr. ; Helena ; Dixon ; 26.7.1977 ; Am Grauen Stein 88 ; 97772 ; Wildflecken ; 09745 / 57667733 ; 0175 / 8746041 ; 09745 / 1111492 ; h.dixon@mail.xyz ; ja
10 ; Herr ; Dr. ; Fynn ; Selig ; 5.8.1981 ; Dorotheenstr. 163 ; 01558 ; Großenhain ; 03522 / 13466568 ; 0170 / 7485262 ; 03522 / 91925763 ; fynn.selig@mail.xyz ; ja
11 ; Frau ; Prof. ; Lia ; Raür ; 22.10.1996 ; Dorbaumstr. 169 ; 15306 ; Seelow ; 03346 / 98547671 ; 0156 / 6897926 ; 03346 / 55228177 ; l.rauer@mail.xyz ; ja
12 ; Frau ; Prof. ; Claudia ; Doppelpunkt ; 5.5.1992 ; Am Pulverschuppen 124 ; 27404 ; Elsdorf ; 02274 / 91260206 ; 0159 / 7619447 ; 02274 / 96958031 ; c.doppelpunkt@mail.xyz ; ja
13 ; Herr ; Prof. ; Gerhard ; Wille ; 23.8.1923 ; Beuelsweg 36 ; 34621 ; Frielendorf ; 05684 / 46119400 ; 0159 / 2992689 ; 05684 / 80074965 ; g.wille@mail.xyz ; ja
14 ; Frau ; Dr. ; Katharina ; Waters ; 27.3.1971 ; Kappenberger Damm 129 ; 55471 ; Reich ; 06761 / 32525960 ; 0168 / 8235213 ; 06761 / 66497136 ; k.waters@mail.xyz ; ja
15 ; Frau ; Dr. ; Leoni ; Krämer ; 26.9.1982 ; Heroldstr. 121 ; 39444 ; Hecklingen ; 03925 / 28942054 ; 0153 / 9588043 ; 03925 / 98892537 ; leoni.kraemer@mail.xyz ; ja
