Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Prof. ; Klemens ; Meier ; 6.6.1950 ; Hahnenstr. 122 ; 31552 ; Rodenberg ; 05723 / 67817990 ; 0173 / 9909343 ; 05723 / 79140325 ; k.meier@mail.xyz ; ja
2 ; Frau ; Dr. ; Margarethe ; Mielke ; 7.12.1939 ; Rinscheweg 173 ; 92447 ; Zangenstein ; 09675 / 80659826 ; 0157 / 8398189 ; 09675 / 66667078 ; margarethe.mielke@mail.xyz ; ja
3 ; Frau ; Dr. ; Denise ; Boyd ; 13.10.1983 ; Augustastr. 153 ; 66287 ; Quierschied ; 06897 / 10787832 ; 0175 / 7037346 ; 06897 / 71645905 ; d.boyd@mail.xyz ; ja
4 ; Herr ; Prof. ; Herbert ; Romero ; 15.8.1982 ; Drachterstr. 83 ; 67098 ; Bad Dürkheim an der Weinstraße ; 06322 / 27196892 ; 0154 / 5286760 ; 06322 / 99260754 ; herbert.romero@mail.xyz ; ja
5 ; Frau ; Prof. ; Hannelore ; Wächter ; 8.5.1998 ; Im Draum 69 ; 24790 ; Ostenfeld ; 04331 / 47366754 ; 0161 / 3661487 ; 04331 / 50389524 ; hannelore.waechter@mail.xyz ; ja
6 ; Herr ; Dr. ; Daniel ; Sommerfeld ; 19.6.1991 ; Kriegerweg 130 ; 54534 ; Großlittgen ; 06572 / 7462968 ; 0172 / 9460967 ; 06572 / 53876467 ; d.sommerfeld@mail.xyz ; ja
7 ; Herr ; Prof. ; Henri ; Waller ; 7.3.1948 ; Wildpfad 86 ; 96187 ; Stadelhofen ; 09504 / 52166017 ; 0159 / 3668796 ; 09504 / 79023222 ; h.waller@mail.xyz ; ja
8 ; Frau ; Dr. ; Ivonne ; Sherman ; 28.7.1951 ; Bünkamp 69 ; 56479 ; Neunkirchen ; 02664 / 5423816 ; 0174 / 1912039 ; 02664 / 53430302 ; i.sherman@mail.xyz ; ja
9 ; Herr ; Dr. ; Malte ; Beck ; 9.7.1937 ; Beuelsweg 64 ; 99310 ; Wipfratal ; 03629 / 32047102 ; 0159 / 6916943 ; 03629 / 78531702 ; m.beck@mail.xyz ; ja
10 ; Frau ; Prof. ; Lucie ; Landau ; 4.8.1947 ; Kösliner Str. 176 ; 31079 ; Adenstedt ; 05060 / 37832459 ; 0177 / 5540939 ; 05060 / 43182359 ; lucie.landau@mail.xyz ; ja
11 ; Frau ; Dr. ; Lyn ; Otterbach ; 20.4.1968 ; Am Römerhof 109 ; 56357 ; Eschbach ; 06772 / 77330739 ; 0179 / 4465444 ; 06772 / 42472174 ; lyn.otterbach@mail.xyz ; ja
12 ; Frau ; Dr. ; Zoé ; Maier ; 15.7.1992 ; Jägerstr. A 66 ; 49770 ; Dohren ; 05962 / 36739480 ; 0154 / 7421395 ; 05962 / 59310903 ; z.maier@mail.xyz ; ja
13 ; Herr ; Dr. ; Georg ; Banks ; 19.2.1981 ; Am Oedingteich 74 ; 59821 ; Arnsberg ; 02931 / 42422956 ; 0152 / 8503240 ; 02931 / 80628568 ; georg.banks@mail.xyz ; ja
14 ; Frau ; Dr. ; Krista ; Marquard ; 8.12.1958 ; Ossenkampstiege 196 ; 86641 ; Rain ; 09090 / 3873660 ; 0177 / 4170798 ; 09090 / 77164365 ; k.marquard@mail.xyz ; ja
15 ; Herr ; Dr. ; Jean ; Cummings ; 19.6.1947 ; Catharina-Müller-Str. 122 ; 56370 ; Attenhausen ; 02604 / 7054352 ; 0170 / 8098289 ; 02604 / 78344693 ; jean.cummings@mail.xyz ; ja
16 ; Frau ; Prof. ; Linda ; Kalisch ; 20.8.1948 ; Dorbaumstr. 183 ; 24217 ; Fiefbergen ; 04344 / 39865936 ; 0177 / 2003279 ; 04344 / 86143792 ; l.kalisch@mail.xyz ; ja
17 ; Frau ; Prof. ; Catrin ; Mohr ; 14.12.1989 ; Alte Apotheke 133 ; 23858 ; Wesenberg ; 04533 / 59563634 ; 0160 / 1813614 ; 04533 / 32630065 ; c.mohr@mail.xyz ; ja
18 ; Herr ; Dr. ; Phil ; Luther ; 4.6.1985 ; Breslauer Str. 24 ; 86492 ; Egling an der Paar ; 08206 / 90695754 ; 0155 / 7497434 ; 08206 / 37161970 ; phil.luther@mail.xyz ; ja
19 ; Frau ; Dr. ; Marieke ; Hodges ; 9.5.1968 ; Hüfferstr. 71 ; 07907 ; Chursdorf ; 03663 / 68668931 ; 0173 / 5093485 ; 03663 / 63801044 ; m.hodges@mail.xyz ; ja
20 ; Herr ; Dr. ; Noah ; Hirt ; 21.6.1938 ; Dauvemühle 51 ; 56323 ; Waldesch ; 02628 / 38802697 ; 0171 / 1652359 ; 02628 / 91201892 ; noah.hirt@mail.xyz ; ja
21 ; Frau ; Prof. ; Kristine ; Ehret ; 15.8.1963 ; Röttgensweg 107 ; 54552 ; Immerath ; 06592 / 1528429 ; 0154 / 3365687 ; 06592 / 15104625 ; k.ehret@mail.xyz ; ja
22 ; Herr ; Dr. ; Yannic ; Hummel ; 19.7.1997 ; Telemannstr. 152 ; 78583 ; Böttingen ; 07429 / 94305405 ; 0161 / 3779771 ; 07429 / 73254030 ; yannic.hummel@mail.xyz ; ja
23 ; Herr ; Dr. ; Lothar ; Robbins ; 13.11.1999 ; Münzstr. 37 ; 08062 ; Zwickau ; 0375 / 6835626 ; 0164 / 6008970 ; 0375 / 26216715 ; lothar.robbins@mail.xyz ; ja
24 ; Herr ; Dr. ; Muhammed ; Spies ; 13.2.1969 ; Münsterstr. 188 ; 57632 ; Schürdt ; 02685 / 35754521 ; 0175 / 9233044 ; 02685 / 89941296 ; muhammed.spies@mail.xyz ; ja
25 ; Frau ; Dr. ; Giulia ; Flame ; 5.11.1995 ; Münsterstr. 58 ; 54570 ; Kirchweiler ; 06592 / 50170548 ; 0157 / 7545599 ; 06592 / 25830140 ; g.flame@mail.xyz ; ja
26 ; Herr ; Dr. ; Kian ; Lamprecht ; 2.2.1930 ; Hansaring 92 ; 49770 ; Herzlake ; 05962 / 69025250 ; 0154 / 5831526 ; 05962 / 45153042 ; k.lamprecht@mail.xyz ; ja
27 ; Frau ; Dr. ; Judith ; Ebert ; 18.12.1922 ; Heinrichstr. 100 ; 83250 ; Marquartstein ; 08641 / 57693118 ; 0155 / 5966254 ; 08641 / 54016635 ; judith.ebert@mail.xyz ; ja
28 ; Herr ; Prof. ; Jonathan ; Bretz ; 11.7.1920 ; Havichhorster Mühle 102 ; 04289 ; Leipzig ; 0341 / 37079111 ; 0163 / 5090640 ; 0341 / 71249777 ; jonathan.bretz@mail.xyz ; ja
29 ; Frau ; Prof. ; Angelika ; Bruder ; 25.6.1993 ; Dauvemühle 111 ; 45665 ; Recklinghausen ; 02361 / 84670192 ; 0161 / 6199658 ; 02361 / 90593325 ; a.bruder@mail.xyz ; ja
30 ; Frau ; Dr. ; Michelle ; Peetz ; 18.10.1944 ; Wiedehagen 68 ; 95499 ; Harsdorf ; 09203 / 46937357 ; 0160 / 5056732 ; 09203 / 48887554 ; michelle.peetz@mail.xyz ; ja
31 ; Herr ; Prof. ; Reiner ; Müller ; 2.9.1936 ; Beuelsweg 192 ; 01979 ; Lauchhammer ; 03574 / 81721721 ; 0168 / 4092259 ; 03574 / 80722129 ; r.mueller@mail.xyz ; ja
32 ; Herr ; Dr. ; Thomas ; Bailey ; 5.12.2000 ; Zur Gräfte 139 ; 93057 ; Regensburg ; 0941 / 98798318 ; 0159 / 7399666 ; 0941 / 18631717 ; thomas.bailey@mail.xyz ; ja
33 ; Frau ; Dr. ; Cathrin ; Siegle ; 19.6.1976 ; Kirchstr. 18 ; 61440 ; Oberursel ; 06171 / 67997341 ; 0160 / 5130752 ; 06171 / 37004273 ; cathrin.siegle@mail.xyz ; ja
34 ; Herr ; Dr. ; Mathies ; Reiss ; 17.9.1935 ; Wildpfad 70 ; 29599 ; Weste ; 05805 / 79741901 ; 0155 / 7756936 ; 05805 / 94030555 ; mathies.reiss@mail.xyz ; ja
35 ; Frau ; Prof. ; Vivien ; Bretz ; 23.10.1944 ; Offerkämpe 33 ; 24395 ; Niesgrau ; 04632 / 96118951 ; 0176 / 5920522 ; 04632 / 61612128 ; v.bretz@mail.xyz ; ja
36 ; Frau ; Dr. ; Sonja ; Haupt ; 7.4.1997 ; Baumberger Str. 79 ; 65556 ; Limburg an der Lahn ; 06431 / 36695699 ; 0169 / 6322644 ; 06431 / 92159615 ; sonja.haupt@mail.xyz ; ja
